castaway_id,full_name,occupation,personality_type,gender,date_of_birth,date_of_death
US0028,Rodger Bingham,Teacher/Farmer,ISFJ,Male,1947-07-05,NA
US0029,Elisabeth Filarski,Footwear Designer,INFP,Female,1977-05-28,NA
US0030,Keith Famie,Chef,ESTJ,Male,1960-02-11,NA
US0031,Colby Donaldson,Auto Customizer,ISTP,Male,1974-04-01,NA
US0032,Tina Wesson,Personal Nurse;Motivational Speaker,ESFJ,Female,1960-12-26,NA
US0033,Diane Ogden,U.S. Mail Carrier,ESTP,Female,1959-04-27,NA
US0034,Jessie Camacho,Deputy Sheriff,ISFP,Female,1974-09-24,NA
US0035,Carl Bilancione,Dentist,ESTJ,Male,1955-06-20,NA
US0036,Linda Spencer,Career Counselor,ESFJ,Female,1957-01-01,NA
US0037,Silas Gaither,Bartender,ESTJ,Male,1978-01-28,NA
US0038,Lindsey Richter,Advertising Executive,ESFP,Female,1974-08-31,NA
US0039,Clarence Black,Basketball Coach,ISTP,Male,1976-12-21,NA
US0040,Kelly Goldsmith,Behavioral Research Analyst,ENTP,Female,1979-04-27,NA
US0041,Brandon Quinton,Bartender,ENFP,Male,1976-01-22,NA
US0042,Frank Garrison,Telephone Technician,ISTJ,Male,1958-07-22,NA
US0043,Kim Powers,Freelance Marketer,INFP,Female,1971-12-03,NA
US0044,Teresa Cooper,Flight Attendant,ENFP,Female,1959-05-05,NA
US0045,Tom Buchanan,Goat Farmer,ESTP,Male,1955-10-30,NA
US0046,Lex van den Berghe,Marketing Manager,ENTJ,Male,1963-06-18,NA
US0047,Kim Johnson,Retired Teacher,ISFJ,Female,1944-09-18,2024-07-23
US0048,Ethan Zohn,Professional Soccer Player;Social Entrepreneur/Keynote Speaker,ISFP,Male,1973-11-12,NA
US0049,Peter Harkey,Bowling Alley Owner,ENFP,Male,1956-01-17,NA
US0050,Patricia Jackson,Truck Assembler,ISFJ,Female,1952-04-08,NA
US0051,Hunter Ellis,Former Navy Fighter Pilot,ESTJ,Male,1968-07-05,NA
US0052,Sarah Jones,Account Manager,ISFP,Female,1977-08-11,NA
US0053,Gabriel Cade,Bartender,INFP,Male,1978-07-01,NA
US0054,Gina Crews,Nature Guide,ISFJ,Female,1973-02-07,NA
US0055,Rob Mariano,Construction Worker,ESTJ,Male,1975-12-25,NA
US0056,John Carroll,Registered Nurse,ENTJ,Male,1965-06-14,NA
US0057,Zoe Zanidakis,Fishing Boat Captain,ISTJ,Female,1966-03-17,NA
US0058,Tammy Leitner,Crime Reporter,ENFJ,Female,1972-07-03,NA
US0059,Robert DeCanio,Limousine Driver,ISTJ,Male,1963-06-19,NA
US0060,Sean Rector,Teacher,ENTP,Male,1971-08-20,NA
US0061,Paschal English,Judge,ISFJ,Male,1945-03-05,NA
US0062,Kathy Vavrick-O'Brien,Real Estate Agent,ESFJ,Female,1955-01-06,NA
US0063,Neleh Dennis,Student,ENFP,Female,1980-02-19,NA
US0064,Vecepia Towery,Office Manager,ISTJ,Female,1965-12-09,NA
US0065,John Raymond,Pastor,ENFP,Male,1962-02-21,NA
US0066,Tanya Vance,Social Worker,ESTJ,Female,1974-11-29,NA
US0067,Jed Hildebrand,Dental Student,ISFP,Male,1976-12-05,NA
US0068,Ghandia Johnson,Legal Secretary,ESFP,Female,1969-01-03,NA
US0069,Stephanie Dill,Firefighter,ISTJ,Female,1972-11-15,NA
US0070,Robert Zbacnik,Bartender,ESFP,Male,1978-09-12,NA
US0071,Shii Ann Huang,Executive Recruiter,INTJ,Female,1974-01-24,NA
US0072,Erin Collins,Real Estate Agent,ESFP,Female,1976-01-07,NA
US0073,Ken Stafford,Police Officer,ESTJ,Male,1972-06-20,NA
US0074,Penny Ramsey,Pharmaceutical Sales,ESFJ,Female,1975-04-24,NA
US0075,Jake Billingsley,Land Broker,ISFJ,Male,1941-08-21,NA
US0076,Ted Rogers Jr.,Software Development Manager,ESTP,Male,1964-12-28,NA
US0077,Helen Glover,Navy Swim Instructor,ISTJ,Female,1955-04-28,NA
US0078,Jan Gentry,Teacher,ENFP,Female,1948-10-31,NA
US0079,Clay Jordan,Restaurant Owner,ESTP,Male,1955-12-30,2022-05-19
US0080,Brian Heidik,Used Car Salesman,ISTP,Male,1968-03-09,NA
US0081,Ryan Aiken,Model,ESFP,Male,1979-02-13,NA
US0082,Janet Koth,Homemaker,ISFJ,Female,1955-11-18,NA
US0083,Daniel Lue,Tax Accountant,INFP,Male,1975-11-29,NA
US0084,JoAnna Ward,Guidance Counselor,ISTJ,Female,1971-04-29,NA
US0085,Jeanne Hebert,Marketing Director,ISTJ,Female,1962-01-06,NA
US0086,Shawna Mitchell,Retail Saleswoman,ENFP,Female,1979-07-28,NA
US0087,Roger Sexton,Construction Company V.P.,ISTJ,Male,1946-09-26,2022-10-26
US0088,Dave Johnson,Rocket Scientist,ISTJ,Male,1979-01-16,NA
US0089,Deena Bennett,Deputy District Attorney,ENTJ,Female,1967-02-12,NA
US0090,Alex Bell,Triathlon Coach,ENFJ,Male,1970-05-16,NA
US0091,Christy Smith,Children's Adventure Guide,INFP,Female,1978-09-13,NA
US0092,Heidi Strobel,Gym Teacher,ENTJ,Female,1978-10-29,NA
US0093,Butch Lockley,Principal,ISFJ,Male,1952-08-28,NA
US0094,Rob Cesternino,Computer Projects Coordinator,ENTP,Male,1978-10-20,NA
US0095,Matthew von Ertfelda,Restaurant Designer,INTP,Male,1969-07-24,NA
US0096,Jenna Morasca,Swimsuit Model,ISTP,Female,1981-02-15,NA
US0097,Nicole Delma,Massage Therapist,INTP,Female,1978-09-19,NA
US0098,Ryan Shoulders,Produce Clerk,INFP,Male,1980-03-28,NA
US0099,Lillian Morris,Scout Troop Leader,INFP,Female,1952-04-03,NA
US0100,Burton Roberts,Marketing Executive,ISTJ,Male,1972-04-10,NA
US0101,Michelle Tesauro,Student,ENFP,Female,1981-01-16,NA
US0102,Trish Dunn,Sales Executive,ENFJ,Female,1960-10-29,NA
US0103,Shawn Cohen,Advertising Sales,ESTP,Male,1974-09-20,NA
US0104,Osten Taylor,Equity Trade Manager,ESFP,Male,1975-12-10,NA
US0105,Andrew Savage,Attorney,ESTJ,Male,1963-07-29,NA
US0106,Ryan Opray,Electrician,ISFJ,Male,1972-08-06,NA
US0107,Rupert Boneham,Troubled Teens Mentor,ESFJ,Male,1964-01-27,NA
US0108,Tijuana Bradley,Pharmaceutical Sales,ESFP,Female,1976-07-23,NA
US0109,Christa Hastie,Computer Programmer,ESFP,Female,1978-11-06,NA
US0110,Darrah Johnson,Mortician,ISTP,Female,1981-05-19,NA
US0111,Jon Dalton,Art Consultant,ENTP,Male,1974-03-11,NA
US0112,Sandra Diaz-Twine,Office Assistant;Case Manager,ESTP,Female,1974-07-30,NA
US0113,Brook Geraghty,Document Manager,INTP,Male,1976-11-20,NA
US0114,Dolly Neely,Sheep Farmer,ISFP,Female,1978-11-18,NA
US0115,John Palyok,Sales Manager,ESTP,Male,1973-05-13,NA
US0116,Mia Galeotalanza,Bookkeeper,ESFP,Female,1974-08-17,NA
US0117,Brady Finta,FBI Agent,ISTJ,Male,1970-12-17,NA
US0118,Travis Sampson,Security Officer,ISFP,Male,1971-02-19,NA
US0119,Lisa Keiffer,Real Estate Agent,ESFJ,Female,1960-05-03,NA
US0120,John Kenney,Mechanical Bull Operator;Model,ESFP,Male,1981-09-26,NA
US0121,Rory Freeman,Housing Case Manager,INTP,Male,1968-10-30,NA
US0122,Lea Masters,Drill Sergeant,ESFJ,Male,1964-03-28,NA
US0123,James Crittenden,Teacher,ESTP,Male,1969-08-08,NA
US0124,Leann Slaby,Equity Research Assistant,INFJ,Female,1969-07-08,NA
US0125,Ami Cusack,Coffee Barista;Nanny,ENTJ,Female,1973-01-25,NA
US0126,Julie Berry,Youth Mentor,INFP,Female,1980-12-15,NA
US0127,Eliza Orlins,Pre-Law Student;Law School Student,ENTJ,Female,1982-12-25,NA
US0128,Scout Cloud Lee,Rancher,INFJ,Female,1944-11-08,NA
US0129,Twila Tanner,Highway Repair Worker,ISTJ,Female,1962-10-12,NA
US0130,Chris Daugherty,Highway Construction Worker,ENTP,Male,1970-08-29,NA
US0131,Jonathan Libby,Sales & Marketing Associate,ISTP,Male,1981-09-05,NA
US0132,Wanda Shirk,English Teacher,ENFP,Female,1949-08-24,NA
US0133,Jolanda Jones,Lawyer,ESTJ,Female,1965-11-06,NA
US0134,Ashlee Ashby,Student,ISFJ,Female,1982-05-02,NA
US0135,Jeff Wilson,Personal Trainer,ESFP,Male,1983-02-09,NA
US0136,Kimberly Mullen,Graduate Student,INTJ,Female,1979-03-13,NA
US0137,Willard Smith,Lawyer,INTP,Male,1947-11-30,NA
US0138,Angie Jakusz,Bartender,INFP,Female,1980-03-27,2021-01-08
US0139,James Miller,Steelworker,ESTP,Male,1971-07-08,NA
US0140,Ibrehem Rahman,Waiter,ISTJ,Male,1977-03-04,NA
US0141,Bobby Jon Drinkard,Waiter,ISTP,Male,1977-05-10,NA
US0142,Coby Archa,Hairstylist,ENFP,Male,1972-09-08,NA
US0143,Janu Tornell,Vegas Showgirl,INFP,Female,1965-05-09,NA
US0144,Stephenie LaGrossa,Pharmaceutical Sales Representative,ESTJ,Female,1979-12-06,NA
US0145,Gregg Carey,Business Consultant,INTP,Male,1977-01-09,NA
US0146,Caryn Groedel,Civil Rights Lawyer,ISTJ,Female,1958-08-13,NA
US0147,Jennifer Lyon,Nanny,ISFP,Female,1972-02-27,2010-01-19
US0148,Ian Rosenberger,Dolphin Trainer,ESFP,Male,1981-08-24,NA
US0149,Katie Gallagher,Advertising Executive,ESFP,Female,1975-05-28,NA
US0150,Tom Westman,Firefighter;Motivational Speaker,ESTJ,Male,1964-01-04,NA
US0151,Jim Lynch,Retired Fire Captain,ISTJ,Male,1942-01-07,NA
US0152,Morgan McDevitt,Magician's Assistant,INFP,Female,1983-11-24,NA
US0153,Brianna Varela,Retail Salesperson,ENFP,Female,1983-10-29,NA
US0154,Brooke Struck,Law Student,ISTJ,Female,1979-07-30,NA
US0155,Blake Towsley,Real Estate Broker,ESTP,Male,1981-05-05,NA
US0156,Margaret Bobonich,Nurse Practitioner,ESFJ,Female,1962-06-05,NA
US0157,Brian Corridan,Ivy League Student,ENTP,Male,1983-02-10,NA
US0158,Amy O'Hara,Police Sergeant,ESTP,Female,1965-11-02,NA
US0159,Brandon Bellinger,Farmer,ISTP,Male,1983-01-22,NA
US0160,Jamie Newton,Water Skiing Instructor,ISTP,Male,1981-01-26,NA
US0161,Gary Hogeboom,Ex-NFL Quarterback,INFJ,Male,1958-08-21,NA
US0162,Judd Sergeant,Hotel Doorman,ESTP,Male,1970-09-13,NA
US0163,Cindy Hall,Zookeeper,ISFP,Female,1974-06-28,NA
US0164,Lydia Morales,Fishmonger,ISFJ,Female,1963-01-19,NA
US0165,Rafe Judkins,Wilderness Guide,INFP,Male,1983-01-08,NA
US0166,Danni Boatwright,Sports Radio Host;Entrepreneur,ENFJ,Female,1975-07-13,NA
US0167,Tina Scheer,Lumberjill,ESTP,Female,1960-11-17,NA
US0168,Melinda Hyder,Singer/Entertainer,ESFJ,Female,1973-05-23,NA
US0169,Misty Giles,Missile Engineer,INTP,Female,1981-02-25,NA
US0170,Ruth Marie Milliman,Real Estate,ISFJ,Female,1957-04-11,NA
US0171,Bobby Mason,Attorney,ISTP,Male,1973-08-20,NA
US0172,Dan Barry,Astronaut,ISFJ,Male,1953-12-30,NA
US0173,Nick Stanbury,Financial Sales,ISFP,Male,1980-07-21,NA
US0174,Austin Carty,Writer,INFP,Male,1981-04-29,NA
US0175,Sally Schumann,Social Worker,INFP,Female,1978-12-10,NA
US0176,Bruce Kanegai,Art Teacher,INFP,Male,1947-12-17,NA
US0177,Courtney Marit,Fire Dancer,ENFP,Female,1974-05-24,NA
US0178,Shane Powers,Marketing Executive,ESFP,Male,1970-11-28,NA
US0179,Cirie Fields,Nurse,ENFJ,Female,1970-07-18,NA
US0180,Terry Deitz,Pilot,ESTJ,Male,1959-10-10,NA
US0181,Danielle DiLorenzo,Medical Sales Rep.,ESFP,Female,1981-06-03,NA
US0182,Aras Baskauskas,Yoga Instructor;Musician,INFP,Male,1981-09-26,NA
US0183,Sekou Bunch,Jazz Musician,ESFJ,Male,1960-09-09,NA
US0184,Virgilio Garcia,Heavy Metal Musician,INFJ,Male,1970-04-22,NA
US0185,Cecilia Mansilla,Risk Consultant,ISTJ,Female,1977-01-13,NA
US0186,John Calderon,Volleyball Pro,ESFP,Male,1975-09-05,NA
US0187,Stephannie Favor,Nursing Student,ISFJ,Female,1970-07-12,NA
US0188,Anh-Tuan Bui,Nail Salon Manager,ENFP,Male,1964-04-10,NA
US0189,Cristina Coria,Police Officer,ISFJ,Female,1971-04-18,NA
US0190,Jessica Smith,Roller Girl,ENFP,Female,1979-01-22,NA
US0191,Brad Virata,Fashion Director,INFJ,Male,1976-11-23,NA
US0192,Rebecca Borman,Make-Up Artist,ISFJ,Female,1971-08-31,NA
US0193,Jenny Guzon-Bae,Real Estate Agent,ISTJ,Female,1970-05-08,NA
US0194,Nathan Gonzalez,Shoe Salesman,ESTP,Male,1980-07-26,NA
US0195,Candice Cody,Pre-Med Student;Physician/Anesthesiology Resident,ISTJ,Female,1982-11-12,NA
US0196,Jonathan Penner,Writer,ENTP,Male,1962-03-05,NA
US0197,Parvati Shallow,Boxer;Charity Organizer;Yoga Teacher/Life Coach/Speaker,ENFJ,Female,1982-09-21,NA
US0198,Adam Gentry,Copier Sales,ESTP,Male,1978-08-21,NA
US0199,Sundra Oakley,Actress,INFP,Female,1975-01-02,NA
US0200,Rebekah Lee,Attorney,INTP,Female,1977-09-11,NA
US0201,Oscar Lusth,Waiter;Photographer,ISFP,Male,1981-08-23,NA
US0202,Yul Kwon,Management Consultant;Product Management,INTJ,Male,1975-02-14,NA
US0203,Jessica deBen,Fashion Stylist,INFJ,Female,1979-04-25,NA
US0204,Erica Durousseau,Non-Profit Fundraiser,ESFP,Female,1979-12-11,NA
US0205,Sylvia Kwan,Architect,ISTJ,Female,1954-08-18,NA
US0206,Gary Stritesky,School Bus Driver,ISFJ,Male,1951-09-16,NA
US0207,Liliana Gomez,Loan Officer,ISTJ,Female,1981-04-05,NA
US0208,Rita Verreos,Single Mom,ISFJ,Female,1968-07-19,NA
US0209,Anthony Robinson,Expert Witness Locator,INFP,Male,1974-06-25,NA
US0210,James Reid,Bartender,ESTP,Male,1978-09-11,NA
US0211,Lisette Linares,Customer Service Representative,ESFP,Female,1970-06-09,NA
US0212,Michelle Yi,Student,ENFP,Female,1983-12-02,NA
US0213,Edgardo Rivera,Ad Executive,ESTP,Male,1978-10-05,NA
US0214,Mookie Lee,Business Consultant,ESFP,Male,1981-11-10,NA
US0215,Alex Angarita,Attorney,ENTJ,Male,1978-04-20,NA
US0216,Stacy Kimball,Web Producer,INTJ,Female,1979-10-01,NA
US0217,Kenward Bernis,Construction Worker,ISTP,Male,1972-06-21,NA
US0218,Yau-Man Chan,Computer Engineer,INTP,Male,1952-08-26,NA
US0219,Andria Herd,Cheerleading Coach,ESFP,Male,1981-12-15,NA
US0220,Cassandra Franklin,College Administrator,ISFJ,Female,1964-04-19,NA
US0221,Earl Cole,Ad Executive,INFJ,Male,1971-04-09,NA
US0222,Steve Morris,Chicken Farmer,ISFP,Male,1959-09-02,NA
US0223,Ashley Massaro,Professional Wrestler,ESFP,Female,1979-05-26,2019-05-16
US0224,Leslie Nease,Christian Radio Host,ENFP,Female,1969-03-25,NA
US0225,Dave Cruser,Former Model,ESTP,Male,1969-10-26,NA
US0226,Aaron Reisberger,Surfing Instructor,ISTJ,Male,1975-04-25,NA
US0227,Sherea Lloyd,Elementary Teacher,ESFP,Female,1981-07-31,NA
US0228,Jaime Dugan,Student,ESFJ,Female,1985-06-30,NA
US0229,Jean-Robert Bellande,Poker Player,INTP,Male,1970-09-17,NA
US0230,Michael Zernow,Student/Athlete,ESFP,Male,1987-02-15,NA
US0231,James Clement,Gravedigger,ISTP,Male,1977-03-09,NA
US0232,Erik Huffman,Musician,ISFP,Male,1981-01-31,NA
US0233,Peih-Gee Law,Jeweler,ENTP,Female,1978-04-07,NA
US0234,Denise Martin,School Lunch Lady,ISFP,Female,1967-05-05,NA
US0235,Amanda Kimmel,Hiking Guide;Aspiring Designer,ISFP,Female,1984-08-03,NA
US0236,Courtney Yates,Waitress,ENTP,Female,1981-03-26,NA
US0237,Todd Herzog,Flight Attendant,ENFP,Male,1985-01-29,NA
US0238,Mary Sartain,Real Estate Manager,ISFJ,Female,1978-11-11,NA
US0239,Michael Bortone,Aspiring Writer,ENTP,Male,1973-12-29,NA
US0240,Joel Anderson,Firefighter,ESTJ,Male,1975-06-01,NA
US0241,Chet Welch,Pageant Coach,INFP,Male,1959-10-22,NA
US0242,Kathleen Sleckman,Golf Course Vendor,ENFP,Female,1962-08-14,NA
US0243,Tracy Hughes-Wolf,Residential Builder,ENFJ,Female,1964-07-09,NA
US0244,Jason Siska,Gymnastics Coach,ESFP,Male,1985-03-04,NA
US0245,Alexis Jones,Motivational Speaker,ENFJ,Female,1983-07-06,NA
US0246,Erik Reichenbach,Ice Cream Scooper;Comic Book Artist,INTP,Male,1985-11-27,NA
US0247,Natalie Bolton,Personal Trainer,INTJ,Female,1975-12-31,NA
US0248,Michelle Chase,Music Producer,INTP,Female,1984-03-07,NA
US0249,Gillian Larson,Retired Nurse,ENFP,Female,1947-02-24,NA
US0250,Paloma Soto-Castillo,Student,ENFP,Female,1984-08-24,NA
US0251,Jacquie Berg,Medical Sales,ENFJ,Female,1982-09-10,NA
US0252,Danny Brown,Maintenance Man,INFP,Male,1982-07-13,NA
US0253,Kelly Czarnecki,Retail Sales,INFP,Female,1986-04-04,NA
US0254,Ace Gordon,Jewelry Sales and Photographer,INTJ,Male,1980-09-03,NA
US0255,Dan Kay,Lawyer,ISFP,Male,1976-06-30,2016-12-31
US0256,Marcus Lehman,Doctor,ENTJ,Male,1979-10-03,NA
US0257,Charlie Herschel,Lawyer,ENFP,Male,1979-05-12,NA
US0258,Randy Bailey,Wedding Videographer,INTJ,Male,1959-03-31,NA
US0259,Corinne Kaplan,Pharmaceutical Sales;Clinical Consultant,ENTJ,Female,1979-01-17,NA
US0260,Crystal Cox,Former Olympic Athlete,ESFP,Female,1979-03-28,NA
US0261,Ken Hoang,Professional Gamer,INTP,Male,1985-10-10,NA
US0262,Matty Whitmore,Personal Trainer,ESFP,Male,1978-12-18,NA
US0263,Jessica Kiper,Pin-Up Model,ENFP,Female,1979-02-22,NA
US0264,Susie Smith,Hairdresser,ISFJ,Female,1960-10-24,NA
US0265,Robert Crowley,Physics Teacher,INTP,Male,1951-02-25,NA
US0266,Carolina Eastwood,Bartender,ESTJ,Female,1981-10-27,NA
US0267,Candace Smith,Attorney,ISTJ,Female,1977-02-01,NA
US0268,Jerry Sims,Sgt - U.S. Army,ISTJ,Male,1959-05-18,NA
US0269,Sandy Burgin,Bus Driver,ESFP,Female,1955-07-01,NA
US0270,Spencer Duhm,Student,INFP,Male,1989-12-20,NA
US0271,Sydney Wheeler,Model,ISFP,Female,1984-05-11,NA
US0272,Joe Dowdle,Real Estate Sales,ISTJ,Male,1982-06-29,NA
US0273,Brendan Synnott,Entrepreneur,ENTP,Male,1978-09-28,NA
US0274,Tyson Apostol,Former Professional Cyclist/Missionary;Shop Manager,ESTP,Male,1979-06-17,NA
US0275,Sierra Reed,Model,INFP,Female,1985-09-29,NA
US0276,Debra Beebe,Middle School Principal,ESFJ,Female,1962-09-28,NA
US0277,Benjamin Wade,Soccer Coach/Musician,ENFJ,Male,1971-09-18,NA
US0278,Tamara Johnson-George,Former Pop Star,ENFJ,Female,1971-04-29,NA
US0279,Erinn Lobdell,Hairstylist,ENFP,Female,1982-10-21,NA
US0280,Stephen Fishbach,Corporate Consultant,INTP,Male,1979-01-24,NA
US0281,James Thomas Jr.,Cattle Rancher,ESTP,Male,1984-06-23,NA
US0282,Marisa Calihan,Student,INFP,Female,1983-07-26,NA
US0283,Mike Borassi,Personal Chef,ESTP,Male,1947-03-13,NA
US0284,Betsy Bolan,Police Officer,ESTJ,Female,1961-03-20,NA
US0285,Ben Browning,Bar Manager,ESTP,Male,1980-08-28,NA
US0286,Yasmin Giles,Hairstylist,ESFP,Female,1975-08-29,NA
US0287,Ashley Trainer,Spa Sales,ENFP,Female,1987-02-27,NA
US0288,Russell Swan,Attorney,ESFJ,Male,1967-02-17,NA
US0289,Elizabeth Kim,Urban Planner,INTP,Female,1975-11-24,NA
US0290,Erik Cardona,Bartender,ENTP,Male,1981-04-13,NA
US0291,Kelly Sharbaugh,Hairstylist,ISFP,Female,1983-12-26,NA
US0292,Laura Morett,Office Manager;Fitness Instructor,ENFJ,Female,1969-07-30,NA
US0293,John Fincher,Rocket Scientist,INTP,Male,1983-08-16,NA
US0294,Dave Ball,Fitness Instructor,INTP,Male,1970-08-13,NA
US0295,Monica Padilla,Law Student,ENFP,Female,1984-07-14,NA
US0296,Shannon Waters,Sales,ESFP,Female,1964-04-25,NA
US0297,Jaison Robinson,Law Student,INTJ,Male,1980-09-25,NA
US0298,Brett Clouser,T-Shirt Designer,ISFP,Male,1985-12-27,NA
US0299,Mick Trimming,Doctor,INTP,Male,1976-05-10,NA
US0300,Russell Hantz,Oil Company Owner,ESTJ,Male,1972-10-10,NA
US0301,Natalie White,Pharmaceutical Sales,ISFJ,Female,1983-04-22,NA
US0302,Wendy-Jo DeSmidt-Kohlhoff,Goat Rancher,ISFP,Female,1961-12-13,NA
US0303,Shannon Elkins,Pest Control Company Owner,ESTJ,Male,1979-12-04,NA
US0304,Jimmy Johnson,Former NFL Coach,ESFJ,Male,1943-07-16,NA
US0305,James Tarantino,Commercial Fisherman,ESTP,Male,1962-09-07,NA
US0306,Tyrone Davis,Fire Captain,ESTJ,Male,1967-09-24,NA
US0307,Kelly Bruno,Medical Student,ISFP,Female,1984-03-23,NA
US0308,Yve Rojas,Homemaker,ISFJ,Female,1969-03-09,NA
US0309,Jill Behm,ER Doctor,ISTJ,Female,1967-01-18,NA
US0310,Alina Wilson,Art Student,INFP,Female,1987-02-20,NA
US0311,Marty Piombo,Technology Executive,ENTJ,Male,1961-11-11,NA
US0312,Brenda Lowe,Paddleboard Company Owner,INTJ,Female,1982-11-03,NA
US0313,NaOnka Mixon,PE Teacher,ESTP,Female,1983-02-17,NA
US0314,Kelly Shinn,Nursing Student,ENFP,Female,1990-05-05,NA
US0315,Ben Henry,Club Promoter,ESTP,Male,1986-06-25,NA
US0316,Jane Bright,Dog Trainer,ISTP,Female,1953-12-13,NA
US0317,Dan Lembo,Real Estate Executive,ISTP,Male,1946-11-05,2022-09-03
US0318,Holly Hoffman,Swim Coach,ENFJ,Female,1966-03-15,NA
US0319,Matthew Lenahan,Real Estate Broker,ENTJ,Male,1979-11-22,NA
US0320,Chase Rice,Pro Racecar Jackman,ISFP,Male,1985-09-19,NA
US0321,Jud Birza,Student,ESFP,Male,1989-06-12,NA
US0322,Francesca Hogi,Attorney,INFJ,Female,1973-11-03,NA
US0323,Matt Elrod,Pre-Med Student,INFP,Male,1988-10-02,NA
US0324,Kristina Kell,Law Student,INTP,Female,1964-12-26,NA
US0325,Krista Klumpp,Pharmaceutical Representative,ISFP,Female,1985-07-27,NA
US0326,Stephanie Valencia,Waitress,ESFP,Female,1985-02-03,NA
US0327,Sarita White,Visual Effects Producer,INTP,Female,1974-10-02,NA
US0328,Mike Chiesl,Iraq War Veteran,ISFJ,Male,1979-09-15,NA
US0329,David Murphy,Defense Attorney,INTJ,Male,1979-07-16,NA
US0330,Julie Wolfe,Firefighter,ISTJ,Female,1960-05-11,NA
US0331,Ralph Kiser,Farmer,ESTP,Male,1965-10-27,2022-04-20
US0332,Steve Wright,Ex-NFL Player,ISFJ,Male,1959-04-08,NA
US0333,Andrea Boehlke,Student;Entertainment Host/Writer,ENFP,Female,1989-05-10,NA
US0334,Grant Mattos,Ex-NFL Player,ISFP,Male,1981-03-12,NA
US0335,Ashley Underwood,Nurse,ESTP,Female,1985-02-08,NA
US0336,Natalie Tenerelli,Professional Dancer,ISFP,Female,1991-05-06,NA
US0337,Phillip Sheppard,Former Federal Agent;Software Sales,ESTJ,Male,1958-03-12,NA
US0338,Semhar Tadesse,Spoken Word Artist,ENFP,Female,1986-09-12,NA
US0339,Christine Shields Markoski,Teacher,ESTP,Female,1971-06-17,NA
US0340,Mark Caruso,Retired NYPD Detective,ESFJ,Male,1963-07-07,NA
US0341,Stacey Powell,Mortician,ISTJ,Female,1967-11-21,NA
US0342,Elyse Umemoto,Dance Team Manager,ENFP,Female,1984-05-10,NA
US0343,Mikayla Wingle,Lingerie Football Player,ISFP,Female,1989-05-31,NA
US0344,Keith Tollefson,Water Treatment Tech,ISFP,Male,1985-10-01,NA
US0345,Jim Rice,Medical Marijuana Dispenser,ENTP,Male,1975-09-14,NA
US0346,Dawn Meehan,English Professor,ESFJ,Female,1970-06-29,NA
US0347,Whitney Duncan,Country Music Singer,ESFP,Female,1984-08-03,NA
US0348,John Cochran,Harvard Law Student,INTP,Male,1987-01-17,NA
US0349,Edna Ma,Anesthesiologist,ISTJ,Female,1975-08-22,NA
US0350,Brandon Hantz,Oil Tanker Crewman;Chemical Disposal,ESFP,Male,1991-10-15,NA
US0351,Rick Nelson,Rancher,ISFJ,Male,1959-10-24,NA
US0352,Albert Destrade,Baseball/Dating Coach­­­­,ENTJ,Male,1985-03-31,NA
